display_id,components,requests,contracts,relationships
318,[],"[{""id"": 20000026019, ""created_at"": ""2022-08-04T18:20:25Z"", ""updated_at"": ""2022-08-04T18:20:25Z"", ""request_type"": ""Ticket"", ""request_id"": ""INC-1252"", ""request_details"": ""Need a new web cam"", ""request_status"": ""Resolved"", ""workspace_id"": 2}]",[],[]
319,[],[],[],[]
322,[],[],[],[]
326,[],[],[],[]
327,[],[],[],[]
328,[],[],[],[]
330,[],[],[],[]
334,[],[],[],[]
335,[],[],[],[]
336,[],[],[],[]
337,[],[],[],[]
338,[],[],[],[]
339,[],[],[],[]
341,[],[],[],[]
342,[],[],[],[]
343,[],[],[],[]
345,[],[],[],[]
347,[],[],[],[]
348,[],[],[],[]
349,[],[],[],[]
351,[],[],[],[]
352,[],[],[],[]
353,[],[],[],[]
354,[],[],[],[]
355,[],[],[],[]
356,[],[],[],[]
357,[],[],[],[]
358,[],[],[],[]
359,[],[],[],[]
360,[],[],[],[]
361,[],"[{""id"": 20000013099, ""created_at"": ""2022-06-14T13:40:00Z"", ""updated_at"": ""2022-06-14T13:40:00Z"", ""request_type"": ""Ticket"", ""request_id"": ""SR-690"", ""request_details"": ""Request for Mikeal Parsons : Adobe Acrobat Pro DC"", ""request_status"": ""Closed"", ""workspace_id"": 2}]",[],[]
362,[],[],[],[]
363,[],[],[],[]
364,[],[],[],[]
365,[],[],[],[]
366,[],[],[],[]
367,[],[],[],[]
368,[],[],[],[]
369,[],[],[],[]
370,[],[],[],[]
371,[],[],[],[]
373,[],[],[],[]
375,[],[],[],[]
376,[],[],[],[]
377,[],[],[],[]
378,[],[],[],[]
379,[],[],[],[]
380,[],[],[],[]
381,[],[],[],[]
382,[],[],[],[]
383,[],[],[],[]
384,[],[],[],[]
385,[],[],[],[]
386,[],[],[],[]
387,[],[],[],[]
388,[],[],[],[]
389,[],[],[],[]
390,[],[],[],[]
391,[],[],[],[]
392,[],[],[],[]
394,[],[],[],[]
395,[],[],[],[]
398,[],[],[],[]
400,[],[],[],[]
402,[],[],[],[]
406,[],[],[],[]
408,[],"[{""id"": 20000004090, ""created_at"": ""2022-04-27T18:41:16Z"", ""updated_at"": ""2022-04-27T18:41:16Z"", ""request_type"": ""Ticket"", ""request_id"": ""INC-375"", ""request_details"": ""Camera Issues with My Laptop"", ""request_status"": ""Closed"", ""workspace_id"": 2}]",[],[]
409,[],[],[],[]
415,[],[],[],[]
416,[],[],[],[]
417,[],[],[],[]
418,[],[],[],[]
420,[],"[{""id"": 20000027231, ""created_at"": ""2022-08-08T19:36:57Z"", ""updated_at"": ""2022-08-08T19:36:57Z"", ""request_type"": ""Ticket"", ""request_id"": ""INC-1271"", ""request_details"": ""memory"", ""request_status"": ""Resolved"", ""workspace_id"": 2}]",[],[]
421,[],[],[],[]
427,[],[],[],[]
428,[],[],[],[]
435,[],[],[],[]
436,[],[],[],[]
437,[],[],[],[]
438,[],[],[],[]
439,[],[],[],[]
440,[],[],[],[]
443,[],"[{""id"": 20000015467, ""created_at"": ""2022-06-28T15:27:57Z"", ""updated_at"": ""2022-06-28T15:27:57Z"", ""request_type"": ""Ticket"", ""request_id"": ""INC-909"", ""request_details"": ""Loander Mac laptop"", ""request_status"": ""Closed"", ""workspace_id"": 2}]",[],[]
444,[],[],[],[]
445,[],[],[],[]
446,[],[],[],[]
447,[],[],[],[]
448,[],[],[],[]
449,[],[],[],[]
450,[],[],[],[]
451,[],[],[],[]
452,[],[],[],[]
453,[],"[{""id"": 20000060218, ""created_at"": ""2022-11-11T18:40:58Z"", ""updated_at"": ""2022-11-11T18:40:58Z"", ""request_type"": ""Ticket"", ""request_id"": ""SR-1681"", ""request_details"": ""Request for Kenny Kha : Apple MacBook"", ""request_status"": ""Resolved"", ""workspace_id"": 2}]",[],[]
454,[],"[{""id"": 20000121627, ""created_at"": ""2023-04-06T13:59:50Z"", ""updated_at"": ""2023-04-06T13:59:50Z"", ""request_type"": ""Ticket"", ""request_id"": ""SR-2427"", ""request_details"": ""Burner Phones for Spam Checking"", ""request_status"": ""Closed"", ""workspace_id"": 2}]",[],[]
455,[],[],[],[]
457,[],"[{""id"": 20000015772, ""created_at"": ""2022-06-29T21:49:36Z"", ""updated_at"": ""2022-06-29T21:49:36Z"", ""request_type"": ""Ticket"", ""request_id"": ""SR-928"", ""request_details"": ""Request for Alexander Peterhansl : Office 365"", ""request_status"": ""Closed"", ""workspace_id"": 2}]",[],[]
460,[],[],[],[]
461,[],"[{""id"": 20000018615, ""created_at"": ""2022-07-13T14:43:47Z"", ""updated_at"": ""2022-07-13T14:43:47Z"", ""request_type"": ""Ticket"", ""request_id"": ""SR-1047"", ""request_details"": ""Request for Nicole Le Mesurier : Office 365"", ""request_status"": ""Closed"", ""workspace_id"": 2}]",[],[]
462,[],[],[],[]
465,[],[],[],[]
466,[],"[{""id"": 20000024880, ""created_at"": ""2022-08-02T15:24:58Z"", ""updated_at"": ""2022-08-02T15:24:58Z"", ""request_type"": ""Ticket"", ""request_id"": ""SR-1078"", ""request_details"": ""Request for Brandon Levine : Apple MacBook"", ""request_status"": ""Resolved"", ""workspace_id"": 2}]",[],[]
467,[],[],[],[]
469,[],[],[],[]
